timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1662395124637,336,HTTP Request Large HTML,200,OK,Thread Group 1 1-16,text,true,,5000314,123,30,30,http://192.168.188.134/large.html,10,0,0
1662395124908,70,HTTP Request Medium PDF,200,OK,Thread Group 1 1-11,text,true,,250295,123,30,30,http://192.168.188.134/medium.pdf,21,0,0
1662395125003,6,HTTP Request Small PNG,200,OK,Thread Group 1 1-5,bin,true,,10409,122,30,30,http://192.168.188.134/small.png,6,0,0
1662395124729,283,HTTP Request Large HTML,200,OK,Thread Group 1 1-26,text,true,,5000314,123,30,30,http://192.168.188.134/large.html,14,0,0
1662395124682,362,HTTP Request Large PDF,200,OK,Thread Group 1 1-27,text,true,,5000297,122,30,30,http://192.168.188.134/large.pdf,18,0,0
1662395124940,119,HTTP Request Medium HTML,200,OK,Thread Group 1 1-22,text,true,,250312,124,30,30,http://192.168.188.134/medium.html,15,0,0
1662395125078,8,HTTP Request Small PNG,200,OK,Thread Group 1 1-30,bin,true,,10409,122,30,30,http://192.168.188.134/small.png,8,0,0
1662395125081,12,HTTP Request Small PDF,200,OK,Thread Group 1 1-23,text,true,,10293,122,30,30,http://192.168.188.134/small.pdf,7,0,0
1662395125098,6,HTTP Request Small PNG,200,OK,Thread Group 1 1-6,bin,true,,10409,122,30,30,http://192.168.188.134/small.png,6,0,0
1662395124935,192,HTTP Request Large PDF,200,OK,Thread Group 1 1-29,text,true,,5000297,122,30,30,http://192.168.188.134/large.pdf,14,0,0
1662395125049,101,HTTP Request Large HTML,200,OK,Thread Group 1 1-1,text,true,,5000314,123,30,30,http://192.168.188.134/large.html,4,0,0
1662395125113,106,HTTP Request Large PDF,200,OK,Thread Group 1 1-15,text,true,,5000297,122,30,30,http://192.168.188.134/large.pdf,9,0,0
1662395125237,4,HTTP Request Small PNG,200,OK,Thread Group 1 1-16,bin,true,,10409,122,30,30,http://192.168.188.134/small.png,4,0,0
1662395125224,17,HTTP Request Small PNG,200,OK,Thread Group 1 1-18,bin,true,,10409,122,30,30,http://192.168.188.134/small.png,17,0,0
1662395125148,112,HTTP Request Large HTML,200,OK,Thread Group 1 1-8,text,true,,5000314,123,30,30,http://192.168.188.134/large.html,6,0,0
1662395125260,15,HTTP Request Medium PDF,200,OK,Thread Group 1 1-4,text,true,,250295,123,30,30,http://192.168.188.134/medium.pdf,7,0,0
1662395125329,6,HTTP Request Small HTML,200,OK,Thread Group 1 1-26,text,true,,5229,123,30,30,http://192.168.188.134/small.html,6,0,0
1662395125339,5,HTTP Request Small PNG,200,OK,Thread Group 1 1-14,bin,true,,10409,122,30,30,http://192.168.188.134/small.png,5,0,0
1662395125371,43,HTTP Request Medium HTML,200,OK,Thread Group 1 1-28,text,true,,250312,124,30,30,http://192.168.188.134/medium.html,19,0,0
1662395125209,235,HTTP Request Large PNG,200,OK,Thread Group 1 1-19,bin,true,,4986430,122,30,30,http://192.168.188.134/large.jpg,11,0,0
1662395125248,199,HTTP Request Large PNG,200,OK,Thread Group 1 1-2,bin,true,,4986430,122,30,30,http://192.168.188.134/large.jpg,6,0,0
1662395125356,96,HTTP Request Medium HTML,200,OK,Thread Group 1 1-24,text,true,,250312,124,30,30,http://192.168.188.134/medium.html,15,0,0
1662395125399,57,HTTP Request Medium HTML,200,OK,Thread Group 1 1-9,text,true,,250312,124,30,30,http://192.168.188.134/medium.html,21,0,0
1662395125457,18,HTTP Request Medium HTML,200,OK,Thread Group 1 1-12,text,true,,250312,124,30,30,http://192.168.188.134/medium.html,7,0,0
1662395125282,209,HTTP Request Large PNG,200,OK,Thread Group 1 1-27,bin,true,,4986430,122,30,30,http://192.168.188.134/large.jpg,7,0,0
1662395125510,11,HTTP Request Small PDF,200,OK,Thread Group 1 1-20,text,true,,10293,122,30,30,http://192.168.188.134/small.pdf,9,0,0
1662395125037,495,HTTP Request Large PNG,200,OK,Thread Group 1 1-17,bin,true,,4986430,122,30,30,http://192.168.188.134/large.jpg,6,0,0
1662395125535,44,HTTP Request Medium HTML,200,OK,Thread Group 1 1-25,text,true,,250312,124,30,30,http://192.168.188.134/medium.html,11,0,0
1662395125542,51,HTTP Request Medium HTML,200,OK,Thread Group 1 1-22,text,true,,250312,124,30,30,http://192.168.188.134/medium.html,17,0,0
1662395125407,206,HTTP Request Large HTML,200,OK,Thread Group 1 1-21,text,true,,5000314,123,30,30,http://192.168.188.134/large.html,24,0,0
